player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Sisix-Uldum,2/10/24,23:30:54,1727901054-53,[Mystic Conniver's Badge],225623,item:225623::::::::80:269::5:4:10371:10355:1520:10255,Pre-Bis,2,DRUID,Nerub-ar Palace-Heroic,The Silken Court,15,2657,30,|cffa335ee|Hitem:150441::::::::80:269::54:5:10377:7756:10270:10041:10255:1:28:2462:::::|h[Guise of the Tidal Lurker]|h|r,,3,false,Armor Token,,,Liendresempa-Zul'jin
Sisix-Uldum,3/10/24,22:55:02,1727985302-10,[Foul Behemoth's Chelicera],219915,item:219915::::::::80:269::6:5:6652:10356:10260:1524:10255:1:28:2462,Offspec,1,DRUID,Nerub-ar Palace-Mythic,Ulgrax the Devourer,16,2657,20,|cffa335ee|Hitem:178708::::::::80:269::33:7:10390:6652:10383:6917:10262:9928:10255:1:28:2462:::::|h[Unbound Changeling]|h|r,|cffa335ee|Hitem:212451::::::::80:269::5:5:41:10355:10262:1520:10255:1:28:2462:::::|h[Aberrant Spellforge]|h|r,5,false,Miscellaneous,Trinket,,Liendresempa-Zul'jin
Sisix-Uldum,6/10/24,23:15:08,1728245708-4,[Venom Stalker's Strap],225723,item:225723::::::::80:269::6:8:6652:10876:10380:10356:10258:8902:1530:10255:1:28:2462,Mejora,1,DRUID,Nerub-ar Palace-Mythic,Broodtwister Ovi'nax,16,2657,20,|cffa335ee|Hitem:225583::::::::80:269::3:7:6652:10876:10376:10354:10270:1507:10255:1:28:2462:::::|h[Behemoth's Eroded Cinch]|h|r,,4,false,Leather,Waist,"mejora por ilv mucho, puedo catalizar, no había caído",Pïchulete-Sanguino
Sisix-Uldum,9/10/24,22:40:11,1728502811-1,[Aberrant Spellforge],212451,item:212451::::::::80:262::6:5:6652:10356:10260:1524:10255:1:28:2462,Mejora,0,DRUID,Nerub-ar Palace-Mythic,The Bloodbound Horror,16,2657,20,|cffa335ee|Hitem:178708::::::::80:262::33:7:10390:6652:10383:10262:9928:10255:6918:1:28:2462:::::|h[Unbound Changeling]|h|r,|cffa335ee|Hitem:212451::::::::80:262::5:5:41:10355:10262:1520:10255:1:28:2462:::::|h[Aberrant Spellforge]|h|r,4,false,Miscellaneous,Trinket,,Elcoka-Sanguino
Cali-Shen'dralar,15/11/23,23:38:08,1700084288-22,[Betrayer's Cinderblade],207781,item:207781::::::::70:102::3:5:6652:7979:9563:1494:8767,Pre-Bis,1,ROGUE,"Amirdrassil, the Dream's Hope-Normal","Tindral Sageswift, Seer of the Flame",14,2549,29,|cffa335ee|Hitem:190507:6643:::::::70:102::13:8:8836:8840:8902:9405:9376:8795:9237:9366:9:28:2164:29:49:30:36:38:8:40:189:44:204697:45:194572:46:203652:49:204440:::::|h[Primal Molten Longsword |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,|cffa335ee|Hitem:190505:6643:::::::70:102::13:8:8836:8840:8902:9405:9376:8795:8174:9366:9:28:2164:29:32:30:49:38:8:40:192:44:204697:45:194572:46:200652:49:204440:::::|h[Primal Molten Shortblade |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,3,false,Daggers,One-Hand,,Codetuma-Zul'jin
Cali-Shen'dralar,19/11/23,23:31:40,1700429500-3,[Ashes of the Embersoul],207167,item:207167::::::::70:102::5:5:6652:7980:9570:1504:8767,Bis,3,ROGUE,"Amirdrassil, the Dream's Hope-Heroic",Smolderon,15,2549,24,|cffa335ee|Hitem:207566::::::::70:102::33:6:9569:9639:6652:9144:1521:8767:1:28:1279:::::|h[Accelerating Sandglass]|h|r,|cffa335ee|Hitem:202610::::::::70:102::5:5:6652:9409:9334:1492:8767:1:28:2474:::::|h[Dragonfire Bomb Dispenser]|h|r,2,false,Miscellaneous,Trinket,bis assa que es lo que voy a jugar,Codetuma-Zul'jin
Cali-Shen'dralar,23/11/23,23:10:30,1700773830-14,[Plans: Flourishing Dream Helm],210644,item:210644::::::::70:102::5,Bis,0,ROGUE,"Amirdrassil, the Dream's Hope-Heroic","Tindral Sageswift, Seer of the Flame",15,2549,28,,,2,false,Blacksmithing,,,Codetuma-Zul'jin
Cali-Shen'dralar,29/11/23,22:22:58,1701289378-3,[Coiled Serpent Idol],207175,item:207175::::::::70:102::5:5:40:7980:9569:1501:8767,Bis,0,ROGUE,"Amirdrassil, the Dream's Hope-Heroic",Volcoross,15,2549,30,|cffa335ee|Hitem:207566::::::::70:102::33:6:9639:6652:9144:9581:1534:8767:1:28:1279:::::|h[Accelerating Sandglass]|h|r,|cffa335ee|Hitem:207167::::::::70:102::5:5:6652:7980:9581:1514:8767::::::|h[Ashes of the Embersoul]|h|r,2,false,Miscellaneous,Trinket,forajido,Codetuma-Zul'jin
Cali-Shen'dralar,6/12/23,22:15:02,1701893702-5,[Bloody Dragonhide Belt],207131,item:207131::::::::70:102::5:7:6652:9600:9508:7980:9568:1498:8767,Bis,1,ROGUE,"Amirdrassil, the Dream's Hope-Heroic",Igira the Cruel,15,2549,26,|cffa335ee|Hitem:193407::::::::70:102::13:10:8836:8840:8902:9405:9499:8797:8960:8795:9498:9600:10:28:2164:29:40:30:36:38:8:40:317:45:206960:46:193555:47:194572:50:206959:52:210447:::::|h[Life-Bound Belt |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,,2,false,Leather,Waist,,Codetuma-Zul'jin
Cali-Shen'dralar,6/12/23,22:15:18,1701893718-7,[Zenith Tormented Dreamheart],207469,item:207469::::::::70:102::5:4:9514:7980:1498:8767,Tier Set,2,ROGUE,"Amirdrassil, the Dream's Hope-Heroic",Igira the Cruel,15,2549,26,|cffa335ee|Hitem:207237::::::::70:102::4:6:6652:7982:9514:9559:1494:8767:1:28:1040:::::|h[Lucid Shadewalker's Clawgrips]|h|r,,1,false,Armor Token,,lfr,Codetuma-Zul'jin
Cali-Shen'dralar,6/12/23,22:17:16,1701893836-10,[Signet of the Last Elder],207162,item:207162::::::::70:102::5:6:6652:9600:7980:9568:1498:8767,Bis,2,ROGUE,"Amirdrassil, the Dream's Hope-Heroic",Igira the Cruel,15,2549,26,|cffa335ee|Hitem:134531:6562:::::::70:102::35:7:9574:9639:6652:9600:9144:9876:8767::::::|h[Band of Twisted Bark]|h|r,|cffa335ee|Hitem:207162:6568:192932::::::70:102::4:6:6652:9516:7982:9559:1494:8767::::::|h[Signet of the Last Elder]|h|r,2,false,Miscellaneous,Finger,,Codetuma-Zul'jin
Cali-Shen'dralar,13/12/23,22:41:07,1702500067-7,[Bloody Dragonhide Belt],207131,item:207131::::::::70:263::6:7:40:9600:9509:7981:9573:1511:8767,Bis,0,ROGUE,"Amirdrassil, the Dream's Hope-Mythic",Igira the Cruel,16,2549,20,|cffa335ee|Hitem:193407::::::::70:263::13:10:8836:8840:8902:9405:9499:8797:8960:8795:9498:9599:10:28:2164:29:40:30:36:38:8:40:317:45:206960:46:193555:47:194572:50:206959:52:210447:::::|h[Life-Bound Belt |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,,2,false,Leather,Waist,,Elcoka-Sanguino
Cali-Shen'dralar,21/12/23,22:16:08,1703189768-2,[Twisted Blossom Stompers],207126,item:207126::::::::70:102::6:6:6652:9509:7981:9573:1511:8767,Bis,2,ROGUE,"Amirdrassil, the Dream's Hope-Mythic",Gnarlroot,16,2549,20,|cffa335ee|Hitem:193452:6613:::::::70:102::13:7:8836:8840:8902:8960:9405:9500:9498:5:28:2164:38:8:40:383:45:206961:48:206959:::::|h[Toxic Thorn Footwraps |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,,2,false,Leather,Feet,suti,Codetuma-Zul'jin
Cali-Shen'dralar,21/12/23,22:32:27,1703190747-10,[Plans: Allied Wristguard of Companionship],194490,item:194490::::::::70:102::6,Bis,0,ROGUE,"Amirdrassil, the Dream's Hope-Mythic",Igira the Cruel,16,2549,20,,,2,false,Blacksmithing,,,Codetuma-Zul'jin
Maddison-Zul'jin,18/6/23,22:34:56,1687116896-7,[Bloodfire Extraction Conduit],204319,item:204319::::::::70:102::3:5:6652:7979:9322:1472:8767,Pre-Bis,0,DRUID,"Aberrus, the Shadowed Crucible-Normal","Rashok, the Elder",14,2569,13,|cff0070dd|Hitem:193707::::::::70:102::23:5:9305:7977:6652:1620:8766:1:28:2157:::::|h[Final Grade]|h|r,,3,false,One-Handed Maces,One-Hand,,Codetuma-Zul'jin
Maddison-Zul'jin,18/6/23,23:06:15,1687118775-22,[Lavaflow Control Rod],202570,item:202570::::::::70:102::3:5:6652:9323:7979:1472:8767,Mejora,0,DRUID,"Aberrus, the Shadowed Crucible-Normal",Magmorax,14,2569,13,|cff0070dd|Hitem:193707::::::::70:102::23:5:9305:7977:6652:1620:8766:1:28:2157:::::|h[Final Grade]|h|r,,4,false,One-Handed Maces,One-Hand,Solo si nadie lo quiere,Codetuma-Zul'jin
Maddison-Zul'jin,18/6/23,23:39:58,1687120798-27,[Void-Touched Curio],206046,item:206046::::::::70:102::3:3:7979:1472:8767:1:28:2645,Tier Set,0,DRUID,"Aberrus, the Shadowed Crucible-Normal",Scalecommander Sarkareth,14,2569,11,|cffa335ee|Hitem:202515::::::::70:102::3:7:6652:9415:9229:9323:7979:1478:8767:1:28:1040:::::|h[Bough of the Autumn Blaze]|h|r,|cffa335ee|Hitem:195478::::::::70:102::3:6:7979:43:8821:8820:1472:8767:1:28:2474:::::|h[Valdrakken Protector's Turncoat]|h|r,1,false,Context Token,,Completo tier 4,Chakaal-Sanguino
Sweetdh-Zul'jin,8/6/23,22:31:06,1686252666-5,[Warlord's Volcanic Vest],202586,item:202586::::::::70:258::5:7:9409:9330:41:9226:9221:1485:8767,Mejora,0,DEMONHUNTER,"Aberrus, the Shadowed Crucible-Heroic",Assault of the Zaqali,15,2569,23,|cffa335ee|Hitem:206198::::::::70:258::33:7:6652:9223:9221:9144:9324:1646:8767:1:28:1279:::::|h[Gore-Splattered Vest]|h|r,,4,false,Leather,Chest,,Prômaniac-Zul'jin
Sweetdh-Zul'jin,8/6/23,22:38:41,1686253121-9,[Elder's Volcanic Binding],202655,item:202655::::::::70:258::5:8:6652:9413:9226:9219:9409:9331:1485:8767,Pre-Bis,1,DEMONHUNTER,"Aberrus, the Shadowed Crucible-Heroic","Rashok, the Elder",15,2569,24,|cffa335ee|Hitem:199429::::::::70:258::14:8:8943:6652:7936:8822:8818:9344:1517:8767::::::|h[Sash of Raging Tempests]|h|r,,3,false,Leather,Waist,,Prômaniac-Zul'jin
Sweetdh-Zul'jin,8/6/23,23:31:57,1686256317-29,[Cuffs of the Savage Serpent],204394,item:204394::::::::70:258::5:8:6652:9415:9226:9220:9409:9332:1485:8767,Pre-Bis,0,DEMONHUNTER,"Aberrus, the Shadowed Crucible-Heroic",Magmorax,15,2569,23,|cffa335ee|Hitem:195525::::::::70:258::5:7:43:7937:7980:8825:8819:1485:8767::::::|h[Loyal Flametender's Bracers]|h|r,,3,false,Leather,Wrist,,Prômaniac-Zul'jin
Sweetdh-Zul'jin,8/6/23,23:43:15,1686256995-37,[Dreadful Corrupting Fluid],202621,item:202621::::::::70:258::5:4:9409:9227:1485:8767,Tier Set,0,DEMONHUNTER,"Aberrus, the Shadowed Crucible-Heroic",Echo of Neltharion,15,2569,21,|cffa335ee|Hitem:204933::::::::70:258::42:4:6652:9320:1646:8767:1:28:2613:::::|h[Sunless Spaulders]|h|r,,1,false,Armor Token,,2 piezas,Prômaniac-Zul'jin
Ahtohalla-Zul'jin,26/10/23,23:49:01,1698353341-1,[Phoenix-Plume Gloves],202578,item:202578::::::::70:102::6:7:9410:9380:6652:9224:9218:1498:8767,Tier Set,0,PRIEST,"Aberrus, the Shadowed Crucible-Mythic",Assault of the Zaqali,16,2569,20,|cffa335ee|Hitem:202543::::::::70:102::5:6:6652:9230:9409:9334:1492:8767:1:28:1040:::::|h[Grasp of the Furnace Seraph]|h|r,,1,false,Cloth,Hands,Tier 447,Codetuma-Zul'jin
Ahtohalla-Zul'jin,15/11/23,22:35:55,1700080555-18,[Vesture of the Smoldering Serpent],207121,item:207121::::::::70:102::3:6:6652:9505:7979:9561:1488:8767,Bis,2,PRIEST,"Amirdrassil, the Dream's Hope-Normal",Volcoross,14,2549,29,|cffa335ee|Hitem:202545:6625:::::::70:102::5:6:6652:9231:9409:9334:1492:8767::::::|h[Command of the Furnace Seraph]|h|r,,2,false,Cloth,Chest,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,15/11/23,23:12:32,1700082752-6,[Amulet of Eonar's Chosen],208445,item:208445::::::::70:102::3:7:6652:8783:10245:7979:9562:1491:8767,Bis,0,PRIEST,"Amirdrassil, the Dream's Hope-Normal","Nymue, Weaver of the Cycle",14,2549,29,|cffa335ee|Hitem:202618::192988:192958:192958::::70:102::5:7:9409:6652:9477:8782:9334:1498:8767::::::|h[Kagni's Scorching Talisman]|h|r,,2,false,Miscellaneous,Neck,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,15/11/23,23:37:53,1700084273-18,[Venerated Blazing Dreamheart],207472,item:207472::::::::70:102::3:4:9513:7979:1494:8767,Tier Set,2,PRIEST,"Amirdrassil, the Dream's Hope-Normal","Tindral Sageswift, Seer of the Flame",14,2549,29,|cffa335ee|Hitem:202542::::::::70:102::35:6:6652:9414:9229:9382:1504:8767::::::|h[Mask of the Furnace Seraph]|h|r,,1,false,Armor Token,,"Tier 1, disponible carga de catalizador y logro de 2k rio",Codetuma-Zul'jin
Ahtohalla-Zul'jin,16/11/23,00:07:08,1700086028-24,[Blooming Redeemer's Sash],207124,item:207124::::::::70:102::3:7:6652:9600:9505:7979:9563:1494:8767,Bis,0,PRIEST,"Amirdrassil, the Dream's Hope-Normal",Fyrakk the Blazing,14,2549,26,|cffa335ee|Hitem:210369::::::::70:102::42:6:9552:9506:6652:9599:1472:8767:1:28:2699:::::|h[Frigid Conservator's Sash]|h|r,,2,false,Cloth,Waist,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,16/11/23,22:17:30,1700165850-5,[Pattern: Allied Wristguards of Time Dilation],194259,item:194259::::::::70:102::5,Bis,0,PRIEST,"Amirdrassil, the Dream's Hope-Heroic",Igira the Cruel,15,2549,26,,,2,false,Tailoring,,Telero ^^,Codetuma-Zul'jin
Ahtohalla-Zul'jin,22/11/23,00:04:04,1700604244-1,[Blooming Redeemer's Sash],207124,item:207124::::::::70:102::5:7:6652:9600:9508:7980:9571:1507:8767,Bis,1,PRIEST,"Amirdrassil, the Dream's Hope-Heroic",Fyrakk the Blazing,15,2549,24,|cffa335ee|Hitem:210369::::::::70:102::42:6:9506:6652:9599:9559:1494:8767:1:28:2699:::::|h[Frigid Conservator's Sash]|h|r,,2,false,Cloth,Waist,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,22/11/23,23:17:26,1700687846-9,"[Vakash, the Shadowed Inferno]",207788,item:207788::::::::70:102::3:6:6652:7979:9563:10247:1494:8767,Bis,2,PRIEST,"Amirdrassil, the Dream's Hope-Normal",Fyrakk the Blazing,14,2549,26,|cffa335ee|Hitem:159133:6643:::::::70:102::16:6:9569:9639:6652:9147:9834:8767:1:28:1279:::::|h[Jagged Iris Sica]|h|r,|cffa335ee|Hitem:207983::::::::70:102::16:5:9569:9639:9144:1592:8767:1:28:1279:::::|h[Ancestor's Necromantic Focus]|h|r,2,false,One-Handed Maces,One-Hand,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,22/11/23,23:53:26,1700690006-33,[Lost Scholar's Belted Treads],207122,item:207122::::::::70:102::5:6:6652:9508:7980:9569:1501:8767,Bis,1,PRIEST,"Amirdrassil, the Dream's Hope-Heroic",Volcoross,15,2549,29,|cffa335ee|Hitem:207817:6613:::::::70:102::16:8:9525:9569:9639:6652:9506:9144:1563:8767:1:28:1279:::::|h[Imbued Frostweave Slippers]|h|r,,2,false,Cloth,Feet,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,23/11/23,22:57:37,1700773057-10,[Venerated Smoldering Dreamheart],207480,item:207480::::::::70:102::5:4:9511:7980:1504:8767,Tier Set,2,PRIEST,"Amirdrassil, the Dream's Hope-Heroic",Smolderon,15,2549,27,|cffa335ee|Hitem:207279::::::::70:102::4:6:6652:7982:9511:9559:1494:8767:1:28:1040:::::|h[Shoulderguardians of Lunar Communion]|h|r,,1,false,Armor Token,,"Mejoro hombreras de lfr a HC, STONKS",Codetuma-Zul'jin
Ahtohalla-Zul'jin,23/11/23,23:09:29,1700773769-12,[Venerated Blazing Dreamheart],207472,item:207472::::::::70:102::5:4:9513:7980:1507:8767,Tier Set,1,PRIEST,"Amirdrassil, the Dream's Hope-Heroic","Tindral Sageswift, Seer of the Flame",15,2549,28,|cffa335ee|Hitem:207281::::::::70:102::3:7:6652:9600:7979:9513:9565:1501:8767:1:28:1040:::::|h[Crest of Lunar Communion]|h|r,,1,false,Armor Token,,Mejora tier de NM a HC,Codetuma-Zul'jin
Ahtohalla-Zul'jin,23/11/23,23:31:49,1700775109-20,[Blossom of Amirdrassil],207171,item:207171::::::::70:102::5:5:6652:7980:9574:1514:8767,Bis,0,PRIEST,"Amirdrassil, the Dream's Hope-Heroic",Fyrakk the Blazing,15,2549,18,|cffa335ee|Hitem:207581::::::::70:102::16:5:9569:9639:9144:1521:8767:1:28:1279:::::|h[Mirror of Fractured Tomorrows]|h|r,|cffa335ee|Hitem:207168::::::::70:102::5:4:7980:9569:1501:8767::::::|h[Pip's Emerald Friendship Badge]|h|r,2,false,Miscellaneous,Trinket,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,30/11/23,00:12:32,1701295952-24,[Inflammable Drapeleaf],207160,item:207160::::::::70:102::6:6:6652:9509:7981:9573:1511:8767,Bis,1,PRIEST,"Amirdrassil, the Dream's Hope-Mythic",Gnarlroot,16,2549,20,|cffa335ee|Hitem:134405:6598:::::::70:102::33:7:9568:9639:6652:9506:9144:9840:8767:1:28:1279:::::|h[Cloak of Fading Echoes]|h|r,,2,false,Cloth,Back,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,6/12/23,00:14:52,1701814492-3,[Smoldering Seedling],207170,item:207170::::::::70:577::6:5:6652:7981:9575:1517:8767,Mejora,0,PRIEST,"Amirdrassil, the Dream's Hope-Mythic","Larodar, Keeper of the Flame",16,2549,20,|cffa335ee|Hitem:207171::::::::70:577::5:5:6652:7980:9576:1520:8767::::::|h[Blossom of Amirdrassil]|h|r,|cffa335ee|Hitem:207168::::::::70:577::5:4:7980:9581:1514:8767::::::|h[Pip's Emerald Friendship Badge]|h|r,4,false,Miscellaneous,Trinket,"Lo quiero testear, pero no tiene pinta de ser muy bueno",Lasttime-Uldum
Ahtohalla-Zul'jin,6/12/23,22:25:26,1701894326-11,[Vesture of the Smoldering Serpent],207121,item:207121::::::::70:102::5:6:6652:9508:7980:9569:1501:8767,Bis,1,PRIEST,"Amirdrassil, the Dream's Hope-Heroic",Volcoross,15,2549,26,|cffa335ee|Hitem:207121:6625:::::::70:102::3:6:6652:9505:7979:9565:1501:8767::::::|h[Vesture of the Smoldering Serpent]|h|r,,2,false,Cloth,Chest,,Codetuma-Zul'jin
Ahtohalla-Zul'jin,17/1/24,23:01:56,1705525316-17,[Band of Burning Thorns],207159,item:207159::::::::70:577::6:5:9600:7981:9575:1517:8767,Bis,2,PRIEST,"Amirdrassil, the Dream's Hope-Mythic","Larodar, Keeper of the Flame",16,2549,20,|cffa335ee|Hitem:134528:6556:::::::70:577::33:7:9639:6652:9600:9144:9581:9876:8767:1:28:1279:::::|h[Band of Callous Dominance]|h|r,|cffa335ee|Hitem:192999:6556:192945::::::70:577::13:9:8836:8840:8902:8780:9405:8792:9500:8174:9498:9:28:2164:29:32:30:36:38:8:40:258:48:194569:49:206961:50:200652:51:206959:::::|h[Signet of Titanic Insight |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,2,false,Miscellaneous,Finger,,Turtlehunter-Zul'jin
Ahtohalla-Zul'jin,24/1/24,22:28:06,1706128086-10,[Venerated Tormented Dreamheart],207468,item:207468::::::::70:262::6:4:9514:7981:1511:8767,Mejora,0,PRIEST,"Amirdrassil, the Dream's Hope-Mythic",Igira the Cruel,16,2549,20,|cffa335ee|Hitem:207282::::::::70:262::35:6:6652:9639:9514:9576:1520:8767::::::|h[Touch of Lunar Communion]|h|r,,4,false,Armor Token,,terciarias,Elcoka-Sanguino
Ahtohalla-Zul'jin,24/1/24,23:35:36,1706132136-21,[Urctos's Hibernal Dial],207119,item:207119::::::::70:262::6:7:6652:9516:9509:7981:9574:1514:8767,Pre-Bis,0,PRIEST,"Amirdrassil, the Dream's Hope-Mythic",Council of Dreams,16,2549,20,|cffa335ee|Hitem:207124:6904:::::::70:262::5:7:6652:9600:9508:7980:9581:1514:8767::::::|h[Blooming Redeemer's Sash]|h|r,,3,false,Cloth,Waist,Catalizar,Elcoka-Sanguino
Ahtohalla-Zul'jin,1/2/24,22:42:14,1706820134-3,[Lost Scholar's Timely Hat],207116,item:207116::::::::70:577::6:7:43:9599:9509:7981:9575:1517:8767,Mejora,0,PRIEST,"Amirdrassil, the Dream's Hope-Mythic","Larodar, Keeper of the Flame",16,2549,20,|cffa335ee|Hitem:207281:7052:192945::::::70:577::35:7:41:9513:9639:9576:1520:8767:9516::::::|h[Crest of Lunar Communion]|h|r,,4,false,Cloth,Head,"Si no me sale la puta pechera, le meto tier a la pechera y",Turtlehunter-Zul'jin
Ahtohalla-Zul'jin,4/2/24,23:10:41,1707081041-0,[Fading Flame Wristbands],210204,item:210204::::::::70:577::6:7:6652:9516:9509:7981:9575:1517:8767,Offspec,0,PRIEST,"Amirdrassil, the Dream's Hope-Mythic",Smolderon,16,2549,20,|cffa335ee|Hitem:193530:6580:192945::::::70:577::13:8:8836:8840:8902:8960:9405:9500:9498:9516:6:28:2164:38:8:40:402:45:206961:48:206959:50:210446:::::|h[Allied Wristguards of Time Dilation |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a]|h|r,,5,false,Cloth,Wrist,"Catalist si me quito el crafted, si eso",Turtlehunter-Zul'jin
Ahtohalla-Zul'jin,10/4/24,23:39:59,1712781599-0,[Venerated Smoldering Dreamheart],207480,item:207480::::::::70:577::6:4:9511:7981:1517:8767,Tier Set,1,PRIEST,"Amirdrassil, the Dream's Hope-Mythic",Smolderon,16,2549,20,|cffa335ee|Hitem:207279::::::::70:577::35:6:6652:9639:9511:9576:1520:8767::::::|h[Shoulderguardians of Lunar Communion]|h|r,,1,false,Armor Token,,terciairas,Lasttime-Uldum
