"player","date","time","id","item","itemID","itemString","response","votes","playerClass","instance","boss","difficultyID","mapID","groupSize","gear1","gear2","responseID","isAwardReason","note","owner","typeCode","tierToken"
"Deafkníght-Zul'jin","2023/11/15","22:25:20","1700079920-8","Agonizing Manacles","207150","item:207150::::::::70:102::3:7:42:9516:9505:7979:9560:1485:8767::::::","Mejora","1","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Normal","Igira the Cruel","14","2549","29","Manacles of Cruel Progress","","4","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/15","22:35:20","1700080520-15","Lavaforged Sollerets","207148","item:207148::::::::70:102::3:6:6652:9505:7979:9561:1488:8767::::::","Bis","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Normal","Volcoross","14","2549","29","Primal Molten Sabatons |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","2","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/15","23:02:32","1700082152-0","Vigilant Protector's Bracers","210205","item:210205::::::::70:102::3:7:6652:9600:9505:7979:9561:1488:8767::::::","Pass","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Normal","Council of Dreams","14","2549","29","Agonizing Manacles","","PASS","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/16","22:08:20","1700165300-1","Seared Ironwood Greaves","207153","item:207153::::::::70:102::5:6:6652:9508:7980:9568:1498:8767::::::","Mejora","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Gnarlroot","15","2549","26","Lingering Phantom's Schynbalds","","4","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/19","22:17:16","1700425036-5","Dreadful Verdurous Dreamheart","207462","item:207462::::::::70:102::5:3:7980:1504:8767::::::","Tier Set","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Nymue, Weaver of the Cycle","15","2549","23","","","1","false","TIER 3","Codetuma-Zul'jin","default","true"
"Deafkníght-Zul'jin","2023/11/22","22:20:29","1700684429-12","Volcanic Spelunker's Vents","207152","item:207152::::::::70:102::3:6:6652:9505:7979:9561:1488:8767::::::","Mejora","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Normal","Volcoross","14","2549","29","Lingering Phantom's Shoulderplates","","4","false","mejora","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/22","22:20:47","1700684447-13","Volcoross's Barbed Fang","207789","item:207789::::::::70:102::3:5:6652:7979:9561:1488:8767::::::","Pre-Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Normal","Volcoross","14","2549","29","Gorehowl, Might of the Warchief","","3","false","Pa na más tenga la de firak u otro arma de 1h","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/22","23:41:56","1700689316-24","Agonizing Manacles","207150","item:207150::::::::70:102::5:7:6652:9600:9508:7980:9568:1498:8767::::::","Mejora","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Igira the Cruel","15","2549","29","Agonizing Manacles","","4","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/22","23:53:08","1700689988-30","Volcoross's Barbed Fang","207789","item:207789::::::::70:102::5:5:41:7980:9569:1501:8767::::::","Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Volcoross","15","2549","29","Gorehowl, Might of the Warchief","","2","false","PA CUANDO TENGA 1 MANO, LA MISMA DE ANTES PERO HC","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/22","23:53:30","1700690010-34","Lavaforged Sollerets","207148","item:207148::::::::70:102::5:6:6652:9508:7980:9569:1501:8767::::::","Bis","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Volcoross","15","2549","29","Lavaforged Sollerets","","2","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/22","23:53:34","1700690014-35","Volcanic Spelunker's Vents","207152","item:207152::::::::70:102::5:6:6652:9508:7980:9569:1501:8767::::::","Mejora","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Volcoross","15","2549","29","Lingering Phantom's Shoulderplates","","4","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/23","22:12:28","1700770348-6","Pattern: Verdant Conduit","210169","item:210169::::::::70:102::5:::::::","Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Council of Dreams","15","2549","29","","","2","false","need","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/29","22:12:08","1701288728-7","Dreadful Tormented Dreamheart","207466","item:207466::::::::70:102::5:4:9514:7980:1498:8767::::::","Tier Set","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Igira the Cruel","15","2549","30","Thorns of the Risen Nightmare","","1","false","tengo los de lfr","Codetuma-Zul'jin","default","true"
"Deafkníght-Zul'jin","2023/11/29","22:32:00","1701289920-0","Phlegethic Girdle","207149","item:207149::::::::70:102::5:7:6652:9600:9508:7980:9570:1504:8767::::::","Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Larodar, Keeper of the Flame","15","2549","30","Arctic Warden's Girdle","","2","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/11/30","23:19:56","1701379196-0","Lavaforged Sollerets","207148","item:207148::::::::70:102::6:6:6652:9509:7981:9574:1514:8767::::::","Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Volcoross","16","2549","20","Lavaforged Sollerets","","2","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/12/06","22:53:27","1701896007-17","Amulet of Eonar's Chosen","208445","item:208445::::::::70:102::5:7:6652:8783:10244:7980:9570:1504:8767::::::","Bis","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Nymue, Weaver of the Cycle","15","2549","25","Elemental Lariat |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","2","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/12/06","23:16:30","1701897390-19","Dreadful Smoldering Dreamheart","207478","item:207478::::::::70:102::5:4:9511:7980:1504:8767::::::","Tier Set","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Smolderon","15","2549","25","Volcanic Spelunker's Vents","","1","false","rompo en pecho, necesito hombreras","Codetuma-Zul'jin","default","true"
"Deafkníght-Zul'jin","2023/12/06","23:26:28","1701897988-23","Smoldering Chevalier's Greatbelt","207157","item:207157::::::::70:102::5:7:6652:9600:9508:7980:9571:1507:8767::::::","Bis","1","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Tindral Sageswift, Seer of the Flame","15","2549","24","Phlegethic Girdle","","2","false","bis unholy si nadie lo quiere","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/12/06","23:42:15","1701898935-34","Gholak, the Final Conflagration","207786","item:207786::::::::70:102::5:6:6652:7980:9571:9584:1507:8767::::::","Bis","2","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Fyrakk the Blazing","15","2549","18","Volcoross's Barbed Fang","Obsidian Seared Slicer |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","2","false","BISSSSS","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/12/07","22:20:58","1701980458-1","Agonizing Manacles","207150","item:207150::::::::70:577::6:7:41:9599:9509:7981:9573:1511:8767::::::","Pre-Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Igira the Cruel","16","2549","20","Agonizing Manacles","","3","false","","Lasttime-Uldum","default",""
"Deafkníght-Zul'jin","2023/12/13","23:57:19","1702504639-6","Dreadful Ashen Dreamheart","207474","item:207474::::::::70:577::6:4:9512:7981:1517:8767::::::","Tier Set","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Larodar, Keeper of the Flame","16","2549","20","Greaves of the Risen Nightmare","","1","false","mejora","Lasttime-Uldum","default","true"
"Deafkníght-Zul'jin","2023/12/27","23:14:19","1703711659-23","Rashon, the Immortal Blaze","207793","item:207793::::::::70:577::5:6:6652:7980:9571:9584:1507:8767::::::","Transmog","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Heroic","Fyrakk the Blazing","15","2549","12","Gorehowl, Might of the Warchief","","6","false","","Lasttime-Uldum","default",""
"Deafkníght-Zul'jin","2024/01/03","22:25:39","1704313539-8","Pattern: Old Spirit's Wristwraps","193873","item:193873::::::::70:262::6:::::::","Bis","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Igira the Cruel","16","2549","20","","","2","false","evoker peletero","Elcoka-Sanguino","default",""
"Deafkníght-Zul'jin","2024/01/03","23:35:42","1704317742-17","Emerald Guardian's Casque","207151","item:207151::::::::70:264::6:7:6652:9600:9509:7981:9574:1514:8767::::::","Tierset","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Council of Dreams","16","2549","20","Piercing Gaze of the Risen Nightmare","","1","false","CATALIZADORRRR SETT","Elcoka-Sanguino","default",""
"Deafkníght-Zul'jin","2024/01/10","22:43:18","1704919398-11","Volcoross's Barbed Fang","207789","item:207789::::::::70:102::6:5:6652:7981:9574:1514:8767::::::","Bis","1","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Volcoross","16","2549","20","Gholak, the Final Conflagration","Obsidian Seared Slicer |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","2","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2024/01/24","22:37:42","1706128662-12","Volcanic Spelunker's Vents","207152","item:207152::::::::70:262::6:6:6652:9509:7981:9574:1514:8767::::::","Transmog","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Volcoross","16","2549","20","Skewers of the Risen Nightmare","","6","false","","Elcoka-Sanguino","default",""
"Deafkníght-Zul'jin","2024/01/24","23:49:17","1706132957-23","Eldermoss Gauntlets","207155","item:207155::::::::70:262::6:6:6652:9509:7981:9575:1517:8767::::::","Transmog","0","DEATHKNIGHT","Amirdrassil, the Dream's Hope-Mythic","Smolderon","16","2549","20","Thorns of the Risen Nightmare","","6","false","","Elcoka-Sanguino","default",""
"Cali-Shen'dralar","2023/11/15","23:38:08","1700084288-22","Betrayer's Cinderblade","207781","item:207781::::::::70:102::3:5:6652:7979:9563:1494:8767::::::","Pre-Bis","1","ROGUE","Amirdrassil, the Dream's Hope-Normal","Tindral Sageswift, Seer of the Flame","14","2549","29","Primal Molten Longsword |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","Primal Molten Shortblade |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","3","false","","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/11/19","23:31:40","1700429500-3","Ashes of the Embersoul","207167","item:207167::::::::70:102::5:5:6652:7980:9570:1504:8767::::::","Bis","3","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Smolderon","15","2549","24","Accelerating Sandglass","Dragonfire Bomb Dispenser","2","false","bis assa que es lo que voy a jugar","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/11/23","23:10:30","1700773830-14","Plans: Flourishing Dream Helm","210644","item:210644::::::::70:102::5:::::::","Bis","0","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Tindral Sageswift, Seer of the Flame","15","2549","28","","","2","false","","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/11/29","22:22:58","1701289378-3","Coiled Serpent Idol","207175","item:207175::::::::70:102::5:5:40:7980:9569:1501:8767::::::","Bis","0","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Volcoross","15","2549","30","Accelerating Sandglass","Ashes of the Embersoul","2","false","forajido","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/12/06","22:15:02","1701893702-5","Bloody Dragonhide Belt","207131","item:207131::::::::70:102::5:7:6652:9600:9508:7980:9568:1498:8767::::::","Bis","1","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Igira the Cruel","15","2549","26","Life-Bound Belt |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","2","false","","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/12/06","22:15:18","1701893718-7","Zenith Tormented Dreamheart","207469","item:207469::::::::70:102::5:4:9514:7980:1498:8767::::::","Tier Set","2","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Igira the Cruel","15","2549","26","Lucid Shadewalker's Clawgrips","","1","false","lfr","Codetuma-Zul'jin","default","true"
"Cali-Shen'dralar","2023/12/06","22:17:16","1701893836-10","Signet of the Last Elder","207162","item:207162::::::::70:102::5:6:6652:9600:7980:9568:1498:8767::::::","Bis","2","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Igira the Cruel","15","2549","26","Band of Twisted Bark","Signet of the Last Elder","2","false","","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/12/06","23:26:52","1701898012-26","Ashen Ranger's Longbow","207780","item:207780::::::::70:102::5:5:6652:7980:9571:1507:8767::::::","Transmog","0","ROGUE","Amirdrassil, the Dream's Hope-Heroic","Tindral Sageswift, Seer of the Flame","15","2549","24","Nick of Time","","6","false","","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/12/13","22:41:07","1702500067-7","Bloody Dragonhide Belt","207131","item:207131::::::::70:263::6:7:40:9600:9509:7981:9573:1511:8767::::::","Bis","0","ROGUE","Amirdrassil, the Dream's Hope-Mythic","Igira the Cruel","16","2549","20","Life-Bound Belt |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","2","false","","Elcoka-Sanguino","default",""
"Cali-Shen'dralar","2023/12/21","22:16:08","1703189768-2","Twisted Blossom Stompers","207126","item:207126::::::::70:102::6:6:6652:9509:7981:9573:1511:8767::::::","Bis","2","ROGUE","Amirdrassil, the Dream's Hope-Mythic","Gnarlroot","16","2549","20","Toxic Thorn Footwraps |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","2","false","suti","Codetuma-Zul'jin","default",""
"Cali-Shen'dralar","2023/12/21","22:32:27","1703190747-10","Plans: Allied Wristguard of Companionship","194490","item:194490::::::::70:102::6:::::::","Bis","0","ROGUE","Amirdrassil, the Dream's Hope-Mythic","Igira the Cruel","16","2549","20","","","2","false","","Codetuma-Zul'jin","default",""
"Davidshaman-Zul'jin","2023/07/19","22:29:40","1689794980-18","Crechebound Soldier's Boots","204424","item:204424::::::::70:102::5:7:6652:9226:9219:9409:9333:1485:8767:1:28:2645:::::","Mejora","0","SHAMAN","Aberrus, the Shadowed Crucible-Heroic","Scalecommander Sarkareth","15","2569","16","Acidic Hailstone Treads |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","4","false","si no la quiere nadie es para hacer experimentos","Codetuma-Zul'jin","default",""
"Davidshaman-Zul'jin","2024/01/17","22:32:35","1705523555-6","Venerated Tormented Dreamheart","207468","item:207468::::::::70:577::6:4:9514:7981:1511:8767::::::","Bis","2","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Igira the Cruel","16","2549","20","Greatwolf Outcast's Grips","","2","false","","Turtlehunter-Zul'jin","default","true"
"Davidshaman-Zul'jin","2024/01/17","23:57:29","1705528649-22","Verdant Matrix Beacon","207798","item:207798::::::::70:577::6:5:42:7981:9575:1517:8767::::::","Offspec","2","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Nymue, Weaver of the Cycle","16","2549","20","Igira's Flaying Hatchet","","5","false","","Turtlehunter-Zul'jin","default",""
"Davidshaman-Zul'jin","2024/01/23","22:30:46","1706041846-0","Venerated Smoldering Dreamheart","207480","item:207480::::::::70:262::6:4:9511:7981:1517:8767::::::","Bis","0","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Smolderon","16","2549","20","Greatwolf Outcast's Companions","","2","false","","Elcoka-Sanguino","default","true"
"Davidshaman-Zul'jin","2024/01/24","22:27:25","1706128045-7","Igira's Flaying Hatchet","207787","item:207787::::::::70:262::6:5:6652:7981:9573:1511:8767::::::","Bis","1","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Igira the Cruel","16","2549","20","Primal Molten Mace |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","Igira's Flaying Hatchet","2","false","","Elcoka-Sanguino","default",""
"Davidshaman-Zul'jin","2024/01/24","22:37:32","1706128652-11","Snake Eater's Cowl","207141","item:207141::::::::70:262::6:7:6652:9599:9509:7981:9574:1514:8767::::::","Tierset","0","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Volcoross","16","2549","20","Greatwolf Outcast's Jaws","","1","false","CATALYST","Elcoka-Sanguino","default",""
"Davidshaman-Zul'jin","2024/01/31","22:35:01","1706733301-15","Snake Eater's Cowl","207141","item:207141::::::::70:577::6:7:6652:9599:9509:7981:9574:1514:8767::::::","Bis","0","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Volcoross","16","2549","20","Greatwolf Outcast's Jaws","","2","false","","Turtlehunter-Zul'jin","default",""
"Davidshaman-Zul'jin","2024/02/01","22:39:10","1706819950-1","Venerated Ashen Dreamheart","207476","item:207476::::::::70:577::6:4:9512:7981:1517:8767::::::","Bis","1","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Larodar, Keeper of the Flame","16","2549","20","Greatwolf Outcast's Fur-Lined Kilt","","2","false","lo cambio por 483","Turtlehunter-Zul'jin","default","true"
"Davidshaman-Zul'jin","2024/04/07","23:28:13","1712521693-5","Flame-Warped Curio","210947","item:210947::::::::70:577::6:3:7981:1520:8767::::::","Bis","0","SHAMAN","Amirdrassil, the Dream's Hope-Mythic","Fyrakk the Blazing","16","2549","20","Greatwolf Outcast's Jaws","Greatwolf Outcast's Harness","2","false","","Turtlehunter-Zul'jin","default",""
"Turtlehunter-Zul'jin","2024/01/17","23:25:39","1705526739-21","Thorncaller Claw","207784","item:207784::::::::70:577::6:6:6652:7981:9574:9418:1514:8767::::::","Bis","0","DEMONHUNTER","Amirdrassil, the Dream's Hope-Mythic","Council of Dreams","16","2549","20","Chronikar's Ceremonial Saber","Primal Molten Warglaive |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","2","false","","Turtlehunter-Zul'jin","default",""
"Turtlehunter-Zul'jin","2024/04/07","23:24:21","1712521461-1","Flame-Warped Curio","210947","item:210947::::::::70:577::6:3:7981:1520:8767::::::","Tier Set","0","DEMONHUNTER","Amirdrassil, the Dream's Hope-Mythic","Fyrakk the Blazing","16","2549","20","Screaming Torchfiend's Burning Scowl","Screaming Torchfiend's Binding","1","false","bis","Turtlehunter-Zul'jin","default",""
"Turtlehunter-Zul'jin","2024/04/14","22:59:18","1713124758-0","Dreadful Blazing Dreamheart","207470","item:207470::::::::70:577::6:4:9513:7981:1520:8767::::::","Tier Set","2","DEMONHUNTER","Amirdrassil, the Dream's Hope-Mythic","Tindral Sageswift, Seer of the Flame","16","2549","20","Screaming Torchfiend's Burning Scowl","","1","false","Me falta ","Turtlehunter-Zul'jin","default","true"
"Ozárk-Sanguino","2023/11/15","22:35:42","1700080542-16","Jeweled Sash of the Viper","207146","item:207146::::::::70:102::3:7:6652:9516:9505:7979:9561:1488:8767::::::","Mejora","2","HUNTER","Amirdrassil, the Dream's Hope-Normal","Volcoross","14","2549","29","Flame-Touched Chain |A:Professions-ChatIcon-Quality-Tier5:17:17::1|a","","4","false","","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/15","23:37:58","1700084278-19","Ashen Ranger's Longbow","207780","item:207780::::::::70:102::3:5:6652:7979:9563:1494:8767::::::","Bis","1","HUNTER","Amirdrassil, the Dream's Hope-Normal","Tindral Sageswift, Seer of the Flame","14","2549","29","Brutal Dragonslayer's Trophy","","2","false","","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/16","23:36:57","1700170617-4","Aerwynn's Ritual Sarong","207138","item:207138::::::::70:102::5:6:6652:9508:7980:9569:1501:8767::::::","Tier Set","2","HUNTER","Amirdrassil, the Dream's Hope-Heroic","Council of Dreams","15","2549","26","Ashen Predator's Poleyns","","1","false","p1","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/22","23:04:45","1700687085-0","Flameseer's Winged Grasps","207137","item:207137::::::::70:102::3:6:6652:9505:7979:9563:1494:8767::::::","Bis","1","HUNTER","Amirdrassil, the Dream's Hope-Normal","Unknown","14","2549","29","Ashen Predator's Skinners","","2","false","false","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/22","23:43:17","1700689397-29","Bandolier of Twisted Blades","207165","item:207165::::::::70:102::5:5:40:7980:9568:1498:8767::::::","Mejora","2","HUNTER","Amirdrassil, the Dream's Hope-Heroic","Igira the Cruel","15","2549","29","Ominous Chromatic Essence","Mirror of Fractured Tomorrows","4","false","si no lo quiere nadie","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/23","23:10:45","1700773845-16","Flameseer's Winged Grasps","207137","item:207137::::::::70:102::5:6:41:9508:7980:9571:1507:8767::::::","Bis","2","HUNTER","Amirdrassil, the Dream's Hope-Heroic","Tindral Sageswift, Seer of the Flame","15","2549","28","Ashen Predator's Skinners","","2","false","","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/23","23:36:44","1700775404-24","Flame-Warped Curio","210947","item:210947::::::::70:102::5:3:7980:1507:8767::::::","Tier Set","0","HUNTER","Amirdrassil, the Dream's Hope-Heroic","Fyrakk the Blazing","15","2549","13","Ashen Predator's Faceguard","Ashen Predator's Sling Vest","1","false","4p","Codetuma-Zul'jin","default",""
"Ozárk-Sanguino","2023/11/27","23:46:33","1701121593-2","Aerwynn's Ritual Sarong","207138","item:207138::::::::70:102::6:6:6652:9509:7981:9574:1514:8767::::::","Bis","1","HUNTER","Amirdrassil, the Dream's Hope-Mythic","Council of Dreams","16","2549","20","Rockhide Leggings","","2","false","","Codetuma-Zul'jin","default",""
